name,description,type,choices
Child Health Problem,Baby has jaundice,Health,"['Visit hospital', 'Ignore it', 'Buy medicine', 'Cook for baby']"
Child Health Problem,Kid allergic to peanuts,Health,"['Hospital drive', 'Dial 911', 'Neglect it', 'Administer meds']"
Your health Problem,Suffering from the flu,Health,"['Hospital visit', 'Call parents', 'Pharmacy trip', 'Rely on immunity']"
Your health Problem,Diagnosed with depression,Health,"['Confide in friend', 'Sever ties', 'Talk to family', 'Consider self-harm']"
Your health Problem,Eyesight worsening,Health,"['Seek optometrist', 'Borrow glasses', 'Ignore it', 'Cry in fear']"
Pet’s health Problem,Dog ate chocolate,Health,"['Vet visit', 'Pray', 'Cry helplessly', 'Use laxative']"
Parents’ health Problem,Father has heart disease,Health,"['Find best doctor', 'Cut ties', 'Call grandpa', 'Buy supplements']"
Brother,Brother coming out,Family,"['Support him', 'Ignore', 'Mock him', 'Tell parents']"
Relationship Issue,Partner cheating discovered,Family,"['Break up', 'Act normal', 'Confront him', 'Revenge cheat']"
Stalker,Ex posted your number,Family,"['File restraining', 'Ignore', 'Confront ex', 'Retaliate']"
Adopting a dog,Found a stray dog,Family,"['Adopt it', 'Search owner', 'Walk away', 'Feed it']"
Parents,Parents dislike your partner,Family,"['Confront parents', 'Break up', 'Stay silent', 'Discuss calmly']"
Crushing on someone,Crush at the gym,Love,"['Ask them out', 'Silent crush', 'Seek advice', 'Workout together']"
Pregnant,Pregnant with boyfriend's baby,Love,"['Consider abortion', 'Consult boyfriend', 'Ask parents', 'Keep baby']"
Indecent Proposal,Friend's boyfriend made a move,Love,"['Ignore him', 'Hook up', 'Tell friend', 'Confront him']"
Interview,Interview question about future,Career,"['Dream future', 'Become expert', 'Work together', 'Travel world']"
Interview,Interview conflict question,Career,"['Handle conflict', 'Feel intimidated', 'Resolve firmly', 'Find challenging']"
Seductress,Supervisor made a pass,Career,"['Engage', 'Reject advance', 'Report HR', 'Tell colleagues']"
Rumor,Rumor about a fetish,Career,"['Discuss with her', 'Ignore', 'Start counter-rumor', 'Confront']"
Lemon Drop,Offered a drink at club,Social,"['Accept drink', 'Decline', 'I’m good', 'Seek advice']"
Champagne,Champagne offer while fishing,Social,"['Accept offer', 'Decline', 'Busy', 'Seek advice']"
Funeral Planning,Planning father's funeral,Family,"['Bury him', 'Cremate', 'Taxidermy', 'Donate body']"
Lost Card,Lost credit card,Family,"['Forget it', 'Search', 'Place hold', 'Seek advice']"
